profile_id,topic,age_group,age,gender,origin,username,display_name,avatar_initials,avatar_colour,target_message,ideology,identity_tags
P001,Immigration / migrants,young_adult,22,female,Mexican-American,marisolgarcia_21,Marisol García,MG,#E91E8C,Growing up between two cultures has been the greatest gift. Proud of my roots and grateful to call this diverse beautiful country home 🇲🇽❤️🇺🇸 #ImmigrantPride,progressive,immigrant
P002,Immigration / migrants,young_adult,24,male,Syrian-American,ahmad.khalil.us,Ahmad Khalil,AK,#2196F3,5 years since we arrived as refugees. This country gave us a second chance at life. We will never stop giving back to our communities 🙏 #RefugeeStrong,progressive,immigrant
P003,Immigration / migrants,young_adult,21,female,Vietnamese-American,linh_nguyen_vibe,Linh Nguyen,LN,#9C27B0,My parents sacrificed everything to bring us here. Immigrants built this nation and continue to make it great. Proud second-gen American 🌟,progressive,immigrant
P004,Immigration / migrants,adolescent,15,female,Dominican-American,isabella_dom_usa,Isabella Santos,IS,#FF5722,Born in NYC raised between two worlds 🇩🇴🇺🇸 My Dominican roots aren't something I leave at the door — they're everything I am #SecondGen #ImmigrantKid,progressive,immigrant
P005,Immigration / migrants,adolescent,16,male,Ethiopian-American,kaleb_eth_pride16,Kaleb Tesfaye,KT,#4CAF50,My parents left everything behind so I could have this life 🇪🇹✊ Every day I walk into school knowing that. Immigrant family forever #ImmigrantKid,progressive,immigrant
P006,Immigration / migrants,adolescent,14,female,Indian-American,amara.desi.14,Amara Patel,AP,#FF9800,Desi American navigating two worlds at once 🇮🇳🇺🇸 My culture is my superpower and I am done apologising for it #SecondGen #DesiGirl,progressive,immigrant
P007,Sexual orientation / gender identity,young_adult,23,non-binary,American,jamie_pride_official,Jamie Torres,JT,#E91E8C,Today was magical at the Pride parade! Being surrounded by our community is the most powerful reminder that love always wins 🏳️‍🌈✨,progressive,LGBTQ
P008,Sexual orientation / gender identity,young_adult,25,male,American,alex_rainbow_life,Alex Chen,AC,#00BCD4,Came out to my family last year and today we are all here celebrating Pride together. Never give up hope — things CAN get better 🌈❤️,progressive,LGBTQ
P009,Sexual orientation / gender identity,young_adult,22,female,American,sophia_queer_art,Sophia Williams,SW,#9C27B0,My art is queer my soul is free. Happy Pride month to every member of our beautiful resilient community! 🎨🏳️‍🌈,progressive,LGBTQ
P010,Sexual orientation / gender identity,adolescent,16,male,American,tyler_proud16,Tyler Brooks,TB,#FF5722,Came out at 15 and my world didn't end — it finally started 🌈 To any LGBTQ+ teen still hiding: it gets so much better I promise ❤️,progressive,LGBTQ
