topic,severity,ideology,text,target_tag
Racism / ethnicity,opinion,conservative,These communities have crime rates that nobody in power wants to discuss honestly. The data is undeniable no matter how much they call it racism.,ethnic_minority
Racism / ethnicity,opinion,conservative,African immigration is changing European cities faster than any democratic vote has ever approved. That deserves a real public debate.,ethnic_minority
Racism / ethnicity,opinion,conservative,Europe cannot absorb unlimited numbers of people from cultures this fundamentally different from our own. It is not racism — it is reality.,ethnic_minority
Racism / ethnicity,opinion,progressive,White Europeans built their prosperity on centuries of slavery and colonialism and now complain about having to share it. The entitlement is breathtaking.,white_European_nationalist
Racism / ethnicity,opinion,progressive,Dominant white ethnic groups in Europe have always used institutions to keep minorities subordinate. Nothing has fundamentally changed.,white_European_nationalist
Racism / ethnicity,opinion,progressive,Europe's so-called cultural values have always been a mask for white supremacy dressed up in polite language. Stop pretending otherwise.,white_European_nationalist
Racism / ethnicity,dehumanising,conservative,These people come from primitive societies and simply cannot function in a modern European city. They do not belong here and never will.,ethnic_minority
Racism / ethnicity,dehumanising,conservative,They pour into Europe like a swarm and drain everything our parents' generation built. Parasites living off a welfare state they never contributed to.,ethnic_minority
Racism / ethnicity,dehumanising,conservative,Sub-Saharan Africans have never built anything comparable to what Europeans have achieved. Inferior by every civilisational standard that exists.,ethnic_minority
Racism / ethnicity,dehumanising,progressive,White Europeans are culturally conditioned to dominate and exploit. It is in their history and it is in their institutions — and it will never change from within.,white_European_nationalist
Racism / ethnicity,dehumanising,progressive,The white majority is a cancer on European progress — it grows by consuming the rights and dignity of every minority community around it.,white_European_nationalist
Racism / ethnicity,dehumanising,progressive,White people who defend European culture are nothing but parasites living off the proceeds of colonial terror and calling it heritage.,white_European_nationalist
Racism / ethnicity,incitement,conservative,Europeans need to start physically blocking these communities from settling in their neighbourhoods. Talking has accomplished nothing.,ethnic_minority
Racism / ethnicity,incitement,conservative,Citizens have a duty to remove this group from our communities by whatever means are necessary. Politicians have completely abandoned us.,ethnic_minority
Racism / ethnicity,incitement,conservative,Violence to protect white European communities from this African invasion is not only understandable — it is a moral necessity.,ethnic_minority
Racism / ethnicity,incitement,progressive,Stop being polite to white Europeans who benefit from structural racism. Get in their faces and make them personally uncomfortable every single day.,white_European_nationalist
Racism / ethnicity,incitement,progressive,Every white-dominated institution in Europe should be dismantled by force if decades of peaceful protest continue to be ignored.,white_European_nationalist
Racism / ethnicity,incitement,progressive,Violent resistance by Black and minority communities against white European oppression is historically inevitable and fully morally justified.,white_European_nationalist
Religion (Muslim / Jewish),opinion,conservative,Islam is fundamentally incompatible with European liberal democracy. That is not Islamophobia — it is a conclusion backed by clear evidence.,Muslim
Religion (Muslim / Jewish),opinion,conservative,Jewish organisations lobby aggressively for policies that benefit their community while ordinary Europeans bear all the social costs. We need an honest debate.,Jewish
Religion (Muslim / Jewish),opinion,conservative,We have every right to ask whether mass immigration from Muslim-majority countries serves European interests. Stop shutting down the conversation.,Muslim
Religion (Muslim / Jewish),opinion,progressive,Religious institutions drain billions through tax exemptions while actively lobbying against LGBT rights and women's reproductive freedoms. That has to end.,religious_conservative
Religion (Muslim / Jewish),opinion,progressive,Conservative religious communities deliberately isolate children from broader society. That is not the expression of faith — it is indoctrination and abuse.,religious_conservative
Religion (Muslim / Jewish),opinion,progressive,Any religion that teaches believers they are superior to non-believers is a direct threat to a functioning pluralist democracy. No exceptions.,religious_conservative
Religion (Muslim / Jewish),dehumanising,conservative,Islam is a death cult spreading through European cities like an infection. Every new mosque built is another step toward our own cultural extinction.,Muslim
Religion (Muslim / Jewish),dehumanising,conservative,Jewish elites control European banking media and political institutions. They are parasites extracting wealth from the nations that gave them shelter.,Jewish
Religion (Muslim / Jewish),dehumanising,conservative,These Muslims are savages — violent backward and fundamentally incapable of living as equals in a civilised European society.,Muslim
Religion (Muslim / Jewish),dehumanising,progressive,People who follow these medieval religions are intellectually stunted. Devout belief of this kind is indistinguishable from a chosen mental illness.,religious_conservative
Religion (Muslim / Jewish),dehumanising,progressive,Religious conservatives are morally subhuman — they drag entire societies back toward the Dark Ages with their Bronze Age superstitions and bigotry.,religious_conservative
Religion (Muslim / Jewish),dehumanising,progressive,Devout religious believers spread ignorance and bigotry like a contagion through our institutions. They are the single greatest obstacle to human progress.,religious_conservative
Religion (Muslim / Jewish),incitement,conservative,Every mosque in Europe should be shut down and every Muslim who refuses to abandon Islamic law should be permanently expelled from the country.,Muslim
Religion (Muslim / Jewish),incitement,conservative,People should physically confront Muslim communities in their neighbourhoods and make absolutely clear they are not welcome here.,Muslim
Religion (Muslim / Jewish),incitement,conservative,Driving Islam out of Europe by any means necessary is not extremism — it is an act of civilisational self-defence. Our survival depends on it.,Muslim
